代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,振幅,换手率,市盈率-动态,量比,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,市净率_y
002078,太阳纸业,12.58,12.58,12.59,12.4,12.39,12.79,12.24,31354616.0,392750460.0,1.452,0.18,12.58,14.892916666666668,-15.530313627843215,True,2026-07-02,10.74372580645161,1.1464032258064516,25.57122022362664,0.53475935828877,True,2026-07-02,35155251797.425804,,,,沿用上一版：当前数据待补齐,35155251797.425804,3.1796502384737684,True,2025-12-10,,大宗用纸,,,,,,,,,,,
002088,鲁阳节能,7.88,7.86,7.88,7.78,7.76,8.01,7.71,3236650.0,25607290.0,1.285,0.1,7.88,10.353750000000002,-23.89230954968008,True,2026-07-02,16.72050852096061,1.69146529562982,56.89235265465173,9.951456310679612,True,2026-07-02,4015893745.5989714,,,,沿用上一版：当前数据待补齐,4015893745.5989714,3.807106598984771,True,2026-07-01,,耐火材料,,,,,,,,,,,
002091,江苏国泰,7.39,7.38,7.39,7.24,7.28,7.42,7.24,16089754.0,118247821.0,2.072,0.15,7.39,8.582583333333332,-13.895388917478211,True,2026-07-02,9.523301104972376,0.7757458563535911,37.43263106320431,9.456148946594809,True,2026-07-02,12028907954.096684,,,,沿用上一版：当前数据待补齐,12028907954.096684,6.359916102841678,True,2026-06-08,,贸易,,,,,,,,,,,
002101,广东鸿图,9.29,9.28,9.29,9.48,9.48,9.55,9.27,9298058.0,87211254.0,-2.004,-0.19,9.29,10.788666666666666,-13.891120311437932,True,2026-07-02,19.853945147679323,0.7741666666666666,48.19212088505127,3.9805825242718447,True,2026-07-02,6157625771.915611,,,,沿用上一版：当前数据待补齐,6157625771.915611,3.369214208826696,True,2025-07-07,,其他汽车零部件,,,,,,,,,,,
002116,中国海诚,6.86,6.85,6.86,6.86,6.87,6.95,6.8,2652000.0,18238558.0,0.0,0.0,6.86,9.955583333333331,-31.093942260205743,True,2026-07-02,11.410000000000002,1.41,0.4594180704441041,0.4375303840544483,True,2026-07-02,3834416606.0,,,,沿用上一版：当前数据待补齐,3834416606.0,3.1969241982507293,True,2026-06-22,,其他专业工程,,,,,,,,,,,
002117,东港股份,7.94,7.94,7.96,7.95,7.93,8.12,7.9,7539332.0,60395857.0,-0.126,-0.01,7.94,10.4705,-24.167900291294583,True,2026-07-02,27.565283018867927,3.1360503144654093,57.23300970873786,37.9126213592233,False,2026-07-02,4158344382.450315,,,,沿用上一版：当前数据待补齐,4158344382.450315,3.778337531486146,True,2026-05-15,,印刷,,,,,,,,,,,
002128,电投能源,23.84,23.84,23.85,23.02,23.89,24.16,23.2,17483715.0,414779391.0,3.562,0.82,23.84,29.03083333333333,-17.880414501822763,True,2026-07-02,12.013205907906167,1.4912945264986968,93.56265356265357,86.43734643734643,False,2026-07-02,70409059504.54214,,,,沿用上一版：当前数据待补齐,70409059504.54214,8.808724832214764,True,2026-05-20,,动力煤,,,,,,,,,,,
002152,广电运通,9.36,9.35,9.36,9.48,9.41,9.49,9.31,23028021.0,216698826.0,-1.266,-0.12,9.36,11.975416666666666,-21.83988031035803,True,2026-07-02,27.457974683544293,1.905569620253164,33.414515343399906,15.44081831466147,True,2026-07-02,23244463925.240505,,,,沿用上一版：当前数据待补齐,23244463925.240505,3.9529914529914536,True,2026-05-28,,其他计算机设备,,,,,,,,,,,
002159,三特索道,12.93,12.93,12.94,12.81,12.75,13.09,12.69,3331300.0,43040387.0,0.937,0.12,12.93,16.54225,-21.836509543744043,True,2026-07-02,17.128969555035127,1.6048946135831386,12.536023054755043,24.45095168374817,True,2026-07-02,2292506131.997658,,,,沿用上一版：当前数据待补齐,2292506131.997658,4.098994586233565,True,2026-06-10,,自然景区,,,,,,,,,,,
002215,诺 普 信,8.65,8.65,8.66,8.56,8.6,8.93,8.53,14631990.0,126921960.0,1.051,0.09,8.65,10.383333333333333,-16.69341894060995,True,2026-07-02,11.196495327102802,1.8997663551401869,0.24330900243309,19.27007299270073,True,2026-07-02,8690082456.904205,,,,沿用上一版：当前数据待补齐,8690082456.904205,3.4682080924855487,True,2026-06-01,,其他种植业,,,,,,,,,,,
