代码,名称,所属行业,现价,半年线,半年线乖离率,股息率,市盈率,市盈率10年分位,市净率,市净率10年分位,总市值,估值数据日期,股息数据日期,价格数据日期
002911,佛燃能源,燃气,10.34,12.658749999999998,-18.317369408511887,5.029013539651838,13.008387096774193,0.9657170449058425,3.460564516129033,73.78078223080638,13423138082.616943,2026-07-17,2026-04-24,2026-07-17
002956,西麦食品,烘焙食品,17.0,20.12658333333333,-15.534595621876523,3.1670588235294117,24.31000000000001,10.618436406067678,3.3271428571428587,72.2287047841307,5313275863.0,2026-07-17,2026-05-18,2026-07-17
002959,小熊电器,厨房小家电,33.7,40.25958333333333,-16.293222110677576,3.857566765578635,15.343594470046085,1.618705035971223,1.832534562211981,1.8585131894484412,5251590432.592936,2026-07-17,2026-05-28,2026-07-17
002991,甘源食品,零食,41.79,50.02441666666667,-16.460794978452185,3.811916726489591,17.54541984732825,13.702422145328718,2.3050874168923894,1.9377162629757785,3895489577.582616,2026-07-17,2026-06-04,2026-07-17
002998,优彩资源,涤纶,7.04,8.242583333333332,-14.589883834962736,4.119318181818182,36.42566906474819,81.51624548736463,1.468776978417265,34.94584837545126,2497905548.615828,2026-07-17,2026-05-20,2026-07-17
003006,百亚股份,生活用纸,13.32,17.66025,-24.576379156580465,3.003003003003003,25.88431989063566,13.555713271823988,4.07885167464115,8.87154009936125,5722908563.073135,2026-07-17,2026-05-20,2026-07-17
003008,开普检测,检测服务,17.24,21.69766666666667,-20.544451784370075,5.80046403712297,22.71693188322839,1.002865329512894,1.7664338866628495,14.111747851002864,1792959999.9999998,2026-07-17,2026-06-03,2026-07-17
003011,海象新材,瓷砖地板,17.69,22.953583333333334,-22.931423198266067,3.3917467495760314,21.090411111111116,57.454228421970356,1.336577777777778,23.254139668826493,1816338440.0,2026-07-17,2026-07-01,2026-07-17
003012,东鹏控股,瓷砖地板,4.69,5.925583333333334,-20.85167423741685,5.330490405117271,16.32035874439462,24.348534201954397,0.7466143497757847,2.078853046594982,5426241631.356504,2026-07-17,2026-06-01,2026-07-17
300099,尤洛卡,冶金矿采化工设备,5.71,8.144083333333333,-29.887750821148273,3.3625218914185644,22.85795597484277,2.7237354085603114,1.8315094339622644,14.153696498054474,4209784606.22956,2026-07-17,2026-04-30,2026-07-17
300130,新国都,其他计算机设备,17.07,23.580499999999997,-27.609677487754702,3.5149384885764494,23.10782547830146,17.254712421459644,2.230331311245917,15.80473658772354,9683903758.682688,2026-07-17,2026-07-02,2026-07-17
300144,宋城演艺,人工景区,5.93,7.401083333333333,-19.876594642676192,4.215851602023609,19.94819727891156,0.78031212484994,2.1682823129251703,1.208313194780087,15564351273.501698,2026-07-17,2026-06-12,2026-07-17
300193,佳士科技,其它通用机械,7.61,8.672666666666665,-12.253055576908267,3.942181340341656,20.516706875753943,45.463367297428434,1.615633293124246,20.329936923823386,3624261015.6369114,2026-07-17,2026-07-06,2026-07-17
300219,鸿利智汇,LED,6.62,7.960750000000001,-16.842006092390804,3.0211480362537766,46.19985056039851,73.33743842364532,1.7972104607721051,10.28175976272862,4686586009.571607,2026-07-17,2026-06-18,2026-07-17
300230,永利股份,其他塑料制品,4.16,4.863333333333332,-14.46196024674432,4.447115384615384,18.972710280373835,87.14524207011685,1.0788785046728977,14.615007356547327,3382967914.0934577,2026-07-17,2026-06-30,2026-07-17
300272,开能健康,清洁小家电,5.49,7.08775,-22.54241472963916,3.2786885245901636,82.83799999999998,90.31007751937985,2.724666666666667,34.20542635658915,3356967401.483334,2026-07-17,2026-06-16,2026-07-17
300306,远方信息,仪器仪表,9.0,11.972833333333334,-24.82982307167616,4.133333333333333,34.315950920245406,46.58965896589659,1.693251533742331,18.071705426356587,2420629002.147239,2026-07-17,2026-05-19,2026-07-17
